Datetime,Close,Volume
20200501-1240,281.82,1247744
20200501-1245,282.24,879223
20200501-1250,282.35,727504
20200501-1255,282.31,700403
20200501-1300,282.69,1443621
20200501-1305,282.39,522307
20200501-1310,282.11,538799
20200501-1315,281.83,632418
20200501-1320,281.58,831448
20200501-1325,282.14,573701
20200501-1330,282.19,678012
20200501-1335,281.74,972016
20200501-1340,281.9,623114
20200501-1345,281.78,774142
20200501-1350,281.69,770197
20200501-1355,281.95,616294
20200501-1400,282.17,1691367
20200501-1405,281.95,752639
20200501-1410,281.75,880947
20200501-1415,282.14,1455885
20200501-1420,282.7,1121310
20200501-1425,282.73,932052
20200501-1430,282.43,709071
20200501-1435,282.62,522739
20200501-1440,282.37,683691
20200501-1445,282.4,647832
20200501-1450,282.39,803652
20200501-1455,282.55,585723
20200501-1500,282.44,1031506
20200501-1505,282.59,888097
20200501-1510,283.13,1102846
20200501-1515,283.23,1017178
20200501-1520,282.92,937223
20200501-1525,282.71,1270465
20200501-1530,282.33,1396757
20200501-1535,282.55,1923796
20200501-1540,282.54,1755051
20200501-1545,282.68,3045287
20200501-1550,281.66,4548109
20200501-1555,282.74,7612738
20200504-0930,279.96,5369938
20200504-0935,279.46,1905596
20200504-0940,279.66,1403665
20200504-0945,279.77,1280963
20200504-0950,280.61,1583113
20200504-0955,280.57,1085528
20200504-1000,281.34,1520623
20200504-1005,281.09,1420251
20200504-1010,281.29,946686
20200504-1015,281.86,1338128
20200504-1020,281.18,900203
20200504-1025,281.16,1192870
20200504-1030,280.74,922087
20200504-1035,281.12,631626
20200504-1040,281.43,917561
20200504-1045,281.31,970066
20200504-1050,281.27,1307930
20200504-1055,280.7,830158
20200504-1100,280.77,751340
20200504-1105,281.19,1105126
20200504-1110,281.15,732706
20200504-1115,281.38,442515
20200504-1120,281.67,807884
